dataset.name,dataset.root,train.batch_size,train.epochs,train.lr,train.optimizer,train.weight_decay,train.save_every,train.num_workers,train.ft_all,train.max_classes,train.threshold,train.margin,train.freeze_text,train.use_distill,MODEL.TRANSFER_TYPE,MODEL.USE_PROMPT,MODEL.PROMPT.NUM_PREFIX,MODEL.PROMPT.NUM_SUFFIX,MODEL.PROMPT.NUM_TOKENS,MODEL.PROMPT.LOCATION,MODEL.PROMPT.INITIATION,MODEL.PROMPT.CLSEMB_FOLDER,MODEL.PROMPT.CLSEMB_PATH,MODEL.PROMPT.PROJECT,MODEL.PROMPT.DEEP,MODEL.PROMPT.LOG,MODEL.PROMPT.NUM_DEEP_LAYERS,MODEL.PROMPT.REVERSE_DEEP,MODEL.PROMPT.DEEP_SHARED,MODEL.PROMPT.FORWARD_DEEP_NOEXPAND,MODEL.PROMPT.HEAD,MODEL.PROMPT.HEAD_CLASS,MODEL.PROMPT.TRAINABLE_PARM,MODEL.PROMPT.VIT_POOL_TYPE,MODEL.PROMPT.DROPOUT,MODEL.PROMPT.SAVE_FOR_EACH_EPOCH,loss.add_weight,loss.distill_layer,wandb.enable,wandb.project,wandb.name,model_name,semantic_templates,attn_type,fuse_feature,size,logit_scale,bkg_thre,select_layer,sliding_crop_size,attention_thr,segmentation_threshold,class_threshold,mode,checkpoint_path,PixelAccuracy,StrokeAccuracy,mIoU,timestamp
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,True,none,False,5,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,7,True,sketch-cliper-project,debug_run_1220,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/SceneSketch/checkpoint/110_run3/model_20.pth,0.32739,0.33144,0.1922,2026-01-12 11:51:04
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,False,False,True,prompt,False,8,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,"[7, 10]",True,sketch-cliper-project,112_run1_ca.py,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/SceneSketch/checkpoint/112_run1_ca.py/model_20.pth,0.32887,0.33448,0.19342,2026-01-13 08:57:32
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,False,False,True,prompt,False,8,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,"[7, 10]",True,sketch-cliper-project,112_run1_ca.py,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,0.33149,0.3327,0.19135,2026-01-13 09:09:05
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,False,False,True,prompt,False,8,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,"[7, 10]",True,sketch-cliper-project,112_run1_ca.py,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/SceneSketch/checkpoint/112_run1_ca.py/model_20.pth,0.81345,0.82126,0.65666,2026-01-13 09:19:44
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,False,False,True,prompt,False,8,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,"[7, 10]",True,sketch-cliper-project,112_run1_ca.py,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/SceneSketch/checkpoint/112_run1_ca.py/model_20.pth,0.20764,0.21472,0.13611,2026-01-13 09:32:34
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,True,none,False,5,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,7,True,sketch-cliper-project,debug_run_1220,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/KDSketchSeg/checkpoint/debug_run_1220/model_20.pth,0.82997,0.84381,0.6889,2026-01-13 10:22:38
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,True,none,False,5,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,7,True,sketch-cliper-project,debug_run_1220,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/KDSketchSeg/checkpoint/debug_run_1220/model_20.pth,0.83682,0.84968,0.70003,2026-01-13 10:37:47
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,True,none,False,5,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,7,True,sketch-cliper-project,debug_run_1220,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/KDSketchSeg/checkpoint/debug_run_1220/model_20.pth,0.83695,0.85023,0.70104,2026-01-13 10:48:41
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,True,none,False,5,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,7,True,sketch-cliper-project,debug_run_1220,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/KDSketchSeg/checkpoint/debug_run_1220/model_20.pth,0.83531,0.84788,0.69886,2026-01-13 10:57:53
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,True,none,False,5,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,7,True,sketch-cliper-project,debug_run_1220,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/KDSketchSeg/checkpoint/debug_run_1220/model_20.pth,0.83263,0.84485,0.69285,2026-01-13 11:09:26
